NX,NY,num_particles,maxiter,mpi_ranks,omp_threads,total_cores,iteration,interp_time_s,mover_time_s,total_iter_time_s,active_particles
500,200,20000000,10,64,1,64,10,0.061708,0.007278,0.069081,19480107
1000,400,14000000,10,1,1,1,1,0.201163,0.216500,0.419052,13982437
1000,400,14000000,10,1,1,1,2,0.200075,0.215983,0.416718,13967740
1000,400,14000000,10,1,1,1,3,0.200308,0.215998,0.416506,13955318
1000,400,14000000,10,1,1,1,4,0.200004,0.215550,0.415753,13940103
1000,400,14000000,10,1,1,1,5,0.200185,0.215885,0.416704,13920805
1000,400,14000000,10,1,1,1,6,0.199911,0.215461,0.415571,13901617
1000,400,14000000,10,1,1,1,7,0.200170,0.215763,0.416137,13880154
1000,400,14000000,10,1,1,1,8,0.199668,0.215355,0.415224,13857525
1000,400,14000000,10,1,1,1,9,0.199641,0.215397,0.415237,13833799
1000,400,14000000,10,1,1,1,10,0.200818,0.215102,0.416120,13809196
1000,400,14000000,10,2,1,2,1,0.104772,0.111440,0.217229,13982437
1000,400,14000000,10,2,1,2,2,0.103164,0.110882,0.214312,13967740
1000,400,14000000,10,2,1,2,3,0.103002,0.111300,0.214577,13955318
1000,400,14000000,10,2,1,2,4,0.103062,0.110871,0.214222,13940103
1000,400,14000000,10,2,1,2,5,0.103062,0.110700,0.214048,13920805
1000,400,14000000,10,2,1,2,6,0.102879,0.110759,0.213910,13901617
1000,400,14000000,10,2,1,2,7,0.103115,0.111062,0.214465,13880154
1000,400,14000000,10,2,1,2,8,0.102828,0.110787,0.213893,13857525
1000,400,14000000,10,2,1,2,9,0.103864,0.110761,0.214900,13833799
1000,400,14000000,10,2,1,2,10,0.103068,0.110793,0.214253,13809196
1000,400,14000000,10,4,1,4,1,0.049958,0.051962,0.103148,13982437
1000,400,14000000,10,4,1,4,2,0.047279,0.052051,0.099524,13967740
1000,400,14000000,10,4,1,4,3,0.047704,0.051596,0.099502,13955318
1000,400,14000000,10,4,1,4,4,0.047268,0.051763,0.099230,13940103
